Word,Count,Sentences
weapons,20.0,"As some of you know, Senator Lugar and I recently traveled to Russia, Ukraine, and Azerbaijan to witness firsthand both the progress we're making in securing the world's most dangerous weapons, as well as the serious challenges that lie ahead. [doc6.txt]
This is a city of two and a half million, and in a non-descript building right in the middle of town stood this facility that once operated on the fringes of the Soviet biological weapons program. [doc6.txt]
Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War. [doc6.txt]
"
enough,19.0,"She believed that over a span of three centuries, she had seen enough to know that there is no challenge too great, no injustice too crippling, no destiny too far out of reach for America. [doc3.txt]
No longer can we assume that a high-school education is enough to compete for a job that could easily go to a college-educated student in Bangalore or Beijing. [doc3.txt]
He was talking about what an awful job his own party has done governing this country, and he said that with all the mistakes and misjudgments the Republicans have made over the last six years, the slogan for the Democrats should come down to just two words:
Had enough? [doc3.txt]
"
corruption,19.0,"One that serves its people and is free from corruption. [doc4.txt]
It is being threatened by corruption. [doc4.txt]
Corruption is not a new problem. [doc4.txt]
"
troops,18.0,"Iraq is descending into chaos based on ethnic divisions that were around long before American troops arrived. [doc5.txt]
When I came here and gave a speech on this war a year ago, I suggested that we begin to move towards a phased redeployment of American troops from Iraqi soil. [doc5.txt]
The addition of 4,000 American troops in Baghdad has not succeeded in securing that increasingly perilous city. [doc5.txt]
"
threat,16.0,"Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip. [doc6.txt]
Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War. [doc6.txt]
And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come. [doc6.txt]
"
country,15.0,"His ideas about how Kenya should progress often put him at odds with the politics of tribe and patronage, and because he spoke his mind, sometimes to a fault, he ended up being fired from his job and prevented from finding work in the country for many, many years. [doc4.txt]
We know as well the talent, the intelligence, and the creativity that exists in this country. [doc4.txt]
As a Senator from the United States, I believe that my country, and other nations, have an obligation and self-interest in being full partners with Kenya and with Africa. [doc4.txt]
"
party,13.0,"He was talking about what an awful job his own party has done governing this country, and he said that with all the mistakes and misjudgments the Republicans have made over the last six years, the slogan for the Democrats should come down to just two words:
Had enough? [doc3.txt]
And so I am eager to have this argument not just with the President, but the entire Republican Party over what this country is about. [doc3.txt]
The time for our party's identity crisis is over. [doc3.txt]
"
kenyan,13.0,"Certainly it is not due to lack of effort on the part of ordinary Kenyans - we know how hard Kenyans are willing to work, the tremendous sacrifices that Kenyan mothers make for their children, the Herculean efforts that Kenyan fathers make for their families. [doc4.txt]
It's not just a Kenyan problem, or an African problem. [doc4.txt]
Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive. [doc4.txt]
"
work,12.0,"My work took me to some of Chicago's poorest neighborhoods. [doc1.txt]
After three years of this work, I went to law school, because I wanted to understand how the law should work for those in need. [doc1.txt]
In the face of Depression, we put people back to work and lifted millions out of poverty. [doc1.txt]
"
soviet,11.0,"This is a city of two and a half million, and in a non-descript building right in the middle of town stood this facility that once operated on the fringes of the Soviet biological weapons program. [doc6.txt]
Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War. [doc6.txt]
We've heard the horror stories - attempts by rogue states to recruit former Soviet weapons scientists; terrorists shopping for weapons grade materials on the black market. [doc6.txt]
"
generation,11.0,"Each and every time, a new generation has risen up and done what's needed to be done. [doc1.txt]
Today we are called once more - and it is time for our generation to answer that call. [doc1.txt]
Let us be the generation that reshapes our economy to compete in the digital age. [doc1.txt]
"
today,11.0,"Let me begin by saying thanks to all you who've traveled, from far and wide, to brave the cold today. [doc1.txt]
That's the journey we're on today. [doc1.txt]
I made lasting friendships here - friends that I see in the audience today. [doc1.txt]
"
program,10.0,"Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip. [doc6.txt]
This is a city of two and a half million, and in a non-descript building right in the middle of town stood this facility that once operated on the fringes of the Soviet biological weapons program. [doc6.txt]
And so the question we need to be asking ourselves today is, what is the future of this program? [doc6.txt]
"
programs,8.0,"Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War. [doc6.txt]
Right now, rogue states and despotic regimes are looking to begin or accelerate their own nuclear programs. [doc6.txt]
In the years ahead, this should become an increasing priority for the Nunn-Lugar program, the Congress, and the Russians, who are already taking important steps to help implement these programs. [doc6.txt]
"
